並	(并|幷|竝|並|併|倂|𠊧)
丧	(喪|丧)
个	(個|箇|个)
丬	(爿|丬|𤕪)
中	(塚|中|冢|塚)
丰	(豐|丰|豊)
丱	(卝|丱)
串	(串|串)
临	(臨|临|臨)
丹	(丹|丹)
为	(為|为|爲)
丼	(井|丼)
丽	(麗|丽|麗)
举	(舉|㪯|举|挙|擧)
乃	(廼|迺|乃)
久	(乆|久)
乆	(久|乆)
乇	(虐|䖈|乇)
么	(幺|麼|麽|么|庅)
义	(義|义)
乌	(烏|乌)
乐	(樂|乐|楽|樂|樂|樂)
乔	(喬|乔)
乕	(虎|乕)
乗	(乘|乗)
乘	(乗|乘)
乚	(隱|乚|隐|隠)
九	(玖|九)
习	(習|习)
乡	(鄉|乡|郷|鄕)
书	(書|书)
乩	(稽|乩)
买	(買|买)
乱	(亂|乱|亂)
乾	(亁|干|榦|乾|幹)
亀	(龜|亀|龟|龜|龜)
亁	(乾|亁|干|榦|幹)
亂	(乱|亂|亂)
了	(瞭|了|了|暸)
予	(余|豫|予|餘|預|预|馀)
争	(爭|争)
亊	(事|亊)
事	(亊|事)
二	(弍|貮|貳|贰|二)
亍	(街|亍)
于	(扵|於|于|亏|虧)
亏	(扵|於|虧|于|亏)
云	(雲|云)
亓	(其|丌|亓)
五	(㐅|伍|五)
井	(丼|井)
亗	(岁|歲|𡻕|亗|嵗|歳)
亘	(亙|亘)
亙	(亘|亙)
亚	(亞|亚|亜)
亜	(亞|亚|亜)
亝	(齊|亝|斉|斋|齋|齐|斎)
亞	(亚|亜|亞)
亡	(亾|兦|亡)
产	(產|产|産)
亩	(畝|亩|畆|畒|畮)
享	(亯|享)
京	(亰|京)
亮	(亮|亮)
亯	(享|亯)
亰	(京|亰)
亱	(夜|亱)
亲	(榛|親|亲)
亵	(褻|䙝|亵|褺)
亷	(廉|亷|廉)
亸	(嚲|亸)
人	(亻|人)
亻	(人|亻)
亼	(集|亼)
亾	(亡|亾|兦)
亿	(億|亿)
什	(什|什|甚)
仁	(忈|仁)
仂	(働|仂)
仃	(停|仃)
仅	(僅|仅)
仆	(僕|仆)
仇	(讎|讐|雠|仇)
从	(從|从|従)
仏	(佛|仏)
仑	(侖|仑|崙|崘|崙)
仓	(倉|仓)
他	(她|牠|他|它|佗)
仙	(僊|仙)
仝	(同|仝|衕)
仞	(仭|仞)
仟	(千|阡|仟)
令	(令|令)
以	(㠯|以)
仪	(儀|仪)
们	(們|们)
仭	(仞|仭)
仮	(假|仮)
仳	(丕|仳)
价	(價|价|価)
任	(仼|任)
仼	(任|仼)
份	(分|彬|份|斌)
仾	(低|仾)
仿	(倣|彷|髣|仿|徬)
伀	(彸|伀)
伃	(妤|伃)
伍	(五|㐅|伍)
众	(眾|众|衆|𠂝)
优	(優|优)
伙	(夥|伙)
会	(會|会)
伛	(傴|伛)
伜	(倅|伜)
伝	(傳|伝|传)
伞	(傘|伞|繖)
伟	(偉|伟)
传	(傳|伝|传)
伡	(俥|伡)
伣	(俔|伣)
伤	(傷|伤)
伥	(倀|伥)
伦	(倫|伦|倫)
伧	(傖|伧)
伩	(信|伩)
伪	(偽|僞|伪)
伫	(佇|伫|竚)
伭	(玄|伭)
伱	(你|伱|伲|妳|您|祢|袮|奶|嬭|禰)
伲	(你|伱|伲|妳|您|祢|袮|奶|嬭|禰)
伷	(冑|胄|伷|咮)
伸	(抻|伸)
佇	(伫|竚|佇)
佈	(布|佈)
佋	(紹|佋|绍)
低	(仾|低)
佑	(祐|佑)
体	(軆|體|体|躰|骵)
佔	(占|佔)
佗	(它|佗|牠|他|她)
余	(予|余|餘|豫|馀|預|预)
佛	(仏|佛)
佞	(侫|佞)
你	(伱|伲|妳|您|祢|袮|你|奶|嬭|禰)
佣	(傭|佣)
佥	(僉|佥)
佬	(姆|佬|姥)
佰	(百|佰)
併	(倂|并|𠊧|併|並|幷|竝)
侁	(詵|駪|侁|诜)
侂	(託|侂|讬)
侄	(姪|侄)
侅	(賅|侅|赅)
來	(徠|来|耒|來|來|倈|勑|徕|俫|勅|敕)
侉	(誇|侉|夸)
例	(例|例)
侎	(敉|侎)
侖	(仑|崙|侖|崘|崙)
侚	(殉|狥|侚)
侠	(俠|侠)
価	(價|价|価)
侣	(侶|侣)
侥	(僥|侥|儌|徺)
侦	(偵|侦)
侧	(側|侧)
侨	(僑|侨)
侩	(儈|侩)
侪	(儕|侪)
侫	(佞|侫)
侬	(儂|侬)
侭	(儘|侭|尽|盡)
侮	(㑄|侮)
侶	(侣|侶)
便	(便|便)
俁	(俣|俁)
係	(系|係|繫|繋)
俈	(嚳|俈|喾)
俊	(儁|俊)
俎	(爼|俎)
俓	(勁|徑|俓|劲|径|迳|逕)
俔	(伣|俔)
俞	(兪|俞)
俟	(竢|俟)
俠	(侠|俠)
信	(伩|信)
俣	(俁|俣)
俥	(伡|俥)
俦	(儔|俦)
俨	(儼|俨)
俩	(倆|俩)
俪	(儷|俪)
俫	(倈|俫|勑|徠|勅|敕|來|徕|来|耒|來)
俭	(儉|俭|倹)
俯	(頫|俯)
俱	(倶|俱)
俲	(效|俲|効)
俻	(備|俻|偹|备)
倀	(伥|倀)
倂	(併|倂|并|𠊧|並|幷|竝)
倅	(伜|倅)
倆	(俩|倆)
倈	(俫|勑|徠|倈|勅|敕|來|徕|来|耒|來)
倉	(仓|倉)
個	(个|箇|個)
倏	(倐|倏)
倐	(倏|倐)
們	(们|們)
倖	(囟|幸|䪿|倖|顖)
倘	(儻|倘|傥)
借	(藉|借|耤)
倣	(仿|倣|彷|髣|徬)
値	(值|値)
倫	(伦|倫|倫)
倲	(㑈|倲)
倶	(俱|倶)
倹	(儉|俭|倹)
债	(債|债)
值	(値|值)
倾	(傾|倾)
偁	(稱|穪|偁|秤|称)
偃	(㫃|偃)
假	(仮|假)
偉	(伟|偉)
偊	(踽|偊)
偎	(渨|隈|偎)
偐	(贋|贗|偐|赝)
偑	(㐽|偑)
偒	(蕩|偒|盪|荡|蘯|逿|𨌩)
停	(仃|停)
健	(徤|健)
偪	(逼|偪)
偬	(傯|偬)
側	(侧|側)
偵	(侦|偵)
偷	(偸|偷)
偸	(偷|偸)
偹	(備|俻|偹|备)
偺	(咱|喒|昝|偺)
偻	(僂|偻)
偽	(伪|僞|偽)
偾	(僨|偾)
偿	(償|偿)
傁	(叜|叟|墰|傁|壜|罈|坛|壇)
傌	(罵|傌|駡|骂)
傍	(旁|傍)
傏	(搪|傏)
傑	(杰|傑)
傖	(伧|傖)
傘	(伞|繖|傘)
備	(俻|偹|备|備)
傜	(徭|傜)
傢	(家|傢)
傤	(儎|傤|載|载)
傥	(儻|倘|傥)
傧	(儐|傧)
储	(儲|储)
傩	(儺|傩)
傭	(佣|傭)
傯	(偬|傯)
傳	(伝|传|傳)
傴	(伛|傴)
債	(债|債)
傷	(伤|傷)
傻	(儍|傻)
傽	(慞|傽)
傾	(倾|傾)
僂	(偻|僂)
僅	(仅|僅)
僉	(佥|僉)
僊	(仙|僊)
働	(仂|働)
像	(象|像)
僑	(侨|僑)
僕	(仆|僕)
僚	(僚|僚)
僞	(伪|偽|僞)
僣	(僭|僣)
僥	(侥|儌|徺|僥)
僨	(偾|僨)
僭	(僣|僭)
僱	(雇|僱)
價	(价|価|價)
儀	(仪|儀)
儁	(俊|儁)
儂	(侬|儂)
億	(亿|億)
儆	(警|儆)
儈	(侩|儈)
儉	(俭|倹|儉)
儌	(僥|侥|儌|徺)
儍	(傻|儍)
儎	(傤|載|儎|载)
